# time [s]; Channel 0; Channel 1; Channel 2
8.590001000000000886e+00;5.736324191093444824e-01;4.539711475372314453e-01;3.128252029418945312e-01
8.593334000000000472e+00;6.144044995307922363e-01;4.483558535575866699e-01;3.111009299755096436e-01
8.596667999999999310e+00;6.942702531814575195e-01;4.515297114849090576e-01;3.128252029418945312e-01
8.599999999999999645e+00;6.390783786773681641e-01;4.593423306941986084e-01;3.125810623168945312e-01
8.603334999999999511e+00;5.702143907546997070e-01;4.615396261215209961e-01;3.123216629028320312e-01
8.606668000000000873e+00;5.853513479232788086e-01;4.612954854965209961e-01;3.120775222778320312e-01
8.610001000000000460e+00;5.450522899627685547e-01;4.595864713191986084e-01;3.133134841918945312e-01
8.613334999999999297e+00;5.091630220413208008e-01;4.564126133918762207e-01;3.113450706005096436e-01
8.616668999999999912e+00;4.969405531883239746e-01;4.500648379325866699e-01;3.086594939231872559e-01
8.620001999999999498e+00;4.420080780982971191e-01;4.532387256622314453e-01;3.062180578708648682e-01
8.623333999999999833e+00;4.202639758586883545e-01;4.578774571418762207e-01;3.074387609958648682e-01
8.626668000000000447e+00;4.222171306610107422e-01;4.573891758918762207e-01;3.076829314231872559e-01
8.630001000000000033e+00;3.980468511581420898e-01;4.642252326011657715e-01;3.115892410278320312e-01
8.633335000000000647e+00;4.346685111522674561e-01;4.803387522697448730e-01;3.184405267238616943e-01
8.636666999999999206e+00;4.781414568424224854e-01;4.818036258220672607e-01;3.213702738285064697e-01
8.640000999999999820e+00;4.630044996738433838e-01;4.681315422058105469e-01;3.206378221511840820e-01
8.643333999999999406e+00;3.479819893836975098e-01;4.493324160575866699e-01;3.120775222778320312e-01
8.646668999999999272e+00;3.345540463924407959e-01;4.449378252029418945e-01;3.096360862255096436e-01
8.650000000000000355e+00;3.924315273761749268e-01;4.442053735256195068e-01;3.089036345481872559e-01
8.653335000000000221e+00;4.593423306941986084e-01;4.490882754325866699e-01;3.096360862255096436e-01
8.656667999999999807e+00;5.199053883552551270e-01;4.505531489849090576e-01;3.098802268505096436e-01
8.660000000000000142e+00;5.304036140441894531e-01;4.534828662872314453e-01;3.086594939231872559e-01
8.663334000000000756e+00;5.096513032913208008e-01;4.622720777988433838e-01;3.108567893505096436e-01
8.666667999999999594e+00;5.211260914802551270e-01;4.647135138511657715e-01;3.142900764942169189e-01
8.670000999999999181e+00;5.584802031517028809e-01;4.649576544761657715e-01;3.162432312965393066e-01
8.673332999999999515e+00;5.531090497970581055e-01;4.590981900691986084e-01;3.145342171192169189e-01
8.676667999999999381e+00;4.988937079906463623e-01;4.588540494441986084e-01;3.125810623168945312e-01
8.680001000000000744e+00;4.979171454906463623e-01;4.549477398395538330e-01;3.113450706005096436e-01
8.683334999999999582e+00;5.355306267738342285e-01;4.595864713191986084e-01;3.142900764942169189e-01
8.686667999999999168e+00;6.246585845947265625e-01;4.698405563831329346e-01;3.164873719215393066e-01
8.690001000000000531e+00;5.372396707534790039e-01;4.774090051651000977e-01;3.172197937965393066e-01
8.693334000000000117e+00;4.713054001331329346e-01;4.715495407581329346e-01;3.159990906715393066e-01
8.696668000000000731e+00;4.720378518104553223e-01;4.578774571418762207e-01;3.128252029418945312e-01
8.700001000000000317e+00;5.135576128959655762e-01;4.473792612552642822e-01;3.101243674755096436e-01
8.703333999999999904e+00;4.759441614151000977e-01;4.410315155982971191e-01;3.059739172458648682e-01
8.706666999999999490e+00;4.268558919429779053e-01;4.478675425052642822e-01;3.059739172458648682e-01
8.710001000000000104e+00;4.327153563499450684e-01;4.537270069122314453e-01;3.062180578708648682e-01
8.713335000000000719e+00;4.776531755924224854e-01;4.520179927349090576e-01;3.079270720481872559e-01
8.716668000000000305e+00;5.211260914802551270e-01;4.517738521099090576e-01;3.091477751731872559e-01
8.720001999999999143e+00;5.118486285209655762e-01;4.627603590488433838e-01;3.125810623168945312e-01
8.723333999999999477e+00;4.861982166767120361e-01;4.671549499034881592e-01;3.147783577442169189e-01
8.726668000000000092e+00;4.920576810836791992e-01;4.510414302349090576e-01;3.123216629028320312e-01
8.730000999999999678e+00;5.089188814163208008e-01;4.488441348075866699e-01;3.108567893505096436e-01
8.733335000000000292e+00;5.201495289802551270e-01;4.691081047058105469e-01;3.128252029418945312e-01
8.736667999999999878e+00;5.245441198348999023e-01;4.849774837493896484e-01;3.181963860988616943e-01
8.740000999999999465e+00;5.208819508552551270e-01;4.752117097377777100e-01;3.184405267238616943e-01
8.743334000000000827e+00;5.174639225006103516e-01;4.569008946418762207e-01;3.152666389942169189e-01
8.746667999999999665e+00;5.213702321052551270e-01;4.515297114849090576e-01;3.133134841918945312e-01
8.750000999999999252e+00;5.203936696052551270e-01;4.485999941825866699e-01;3.111009299755096436e-01
8.753334999999999866e+00;5.150225162506103516e-01;4.490882754325866699e-01;3.106126487255096436e-01
8.756667000000000201e+00;5.111162066459655762e-01;4.569008946418762207e-01;3.120775222778320312e-01
8.760001000000000815e+00;5.123369097709655762e-01;4.617837667465209961e-01;3.128252029418945312e-01
8.763334000000000401e+00;5.111162066459655762e-01;4.632486402988433838e-01;3.147783577442169189e-01
8.766667999999999239e+00;5.076981782913208008e-01;4.581216275691986084e-01;3.135576546192169189e-01
